lon,lat,age,plate_id,recon_lon,recon_lat,distance_deg,sub_idx,trench_lon,trench_lat,conv_rate_cm_yr,conv_angle_deg,trench_abs_rate_cm_yr,trench_abs_angle_deg,arc_len_deg,trench_norm_deg,subducting_pid,trench_pid,dist_nearest_edge_deg,dist_from_start_deg,conv_ortho_cm_yr,conv_paral_cm_yr,trench_abs_ortho_cm_yr,trench_abs_paral_cm_yr,subducting_abs_rate_cm_yr,subducting_abs_angle_deg,subducting_abs_ortho_cm_yr,subducting_abs_paral_cm_yr,seafloor_age_ma,subduction_volume_km3_yr,carbonate_sediment_thickness_m,total_sediment_thick_m,ocean_crust_carb_percent
138.000,-14.880,18.000,801.000,132.904,-24.314,0.213,3145.000,138.410,-13.250,7.350,-8.250,6.470,-177.250,0.190,204.740,781.000,698.000,8.480,10.130,7.280,-1.060,-6.460,-0.310,-1.590,-59.340,0.810,-1.370,103.230,0.150,23.640,319.190,2.380
139.000,-14.880,18.000,801.000,133.963,-24.271,0.201,3168.000,142.200,-15.690,7.130,-24.480,6.220,166.830,0.190,219.450,781.000,698.000,4.030,14.580,6.490,-2.950,-6.060,1.420,-1.600,-74.420,0.430,-1.540,107.630,0.140,25.180,353.740,2.550
140.000,-14.880,18.000,801.000,135.022,-24.225,0.189,3171.000,142.670,-16.060,7.100,-24.590,6.180,166.750,0.190,219.320,781.000,698.000,3.450,15.160,6.450,-2.950,-6.020,1.420,-1.600,-74.350,0.430,-1.540,105.830,0.140,19.220,362.930,2.500
141.000,-14.880,18.000,801.000,136.080,-24.176,0.178,3174.000,143.140,-16.430,7.070,-24.710,6.150,166.670,0.190,219.180,781.000,698.000,2.860,15.750,6.420,-2.950,-5.980,1.420,-1.600,-74.280,0.430,-1.540,76.720,0.120,12.640,331.310,2.540
142.000,-14.880,18.000,801.000,137.138,-24.124,0.166,3176.000,143.460,-16.670,7.050,-24.790,6.120,166.620,0.190,219.090,781.000,698.000,2.470,16.140,6.400,-2.950,-5.960,1.420,-1.600,-74.240,0.430,-1.540,76.720,0.120,12.640,331.310,2.540
143.000,-14.880,18.000,801.000,138.195,-24.069,0.155,3176.000,143.460,-16.670,7.050,-24.790,6.120,166.620,0.190,219.090,781.000,698.000,2.470,16.140,6.400,-2.950,-5.960,1.420,-1.600,-74.240,0.430,-1.540,76.720,0.120,12.640,331.310,2.540
144.000,-14.880,18.000,801.000,139.251,-24.011,0.145,3176.000,143.460,-16.670,7.050,-24.790,6.120,166.620,0.190,219.090,781.000,698.000,2.470,16.140,6.400,-2.950,-5.960,1.420,-1.600,-74.240,0.430,-1.540,76.720,0.120,12.640,331.310,2.540
145.000,-14.880,18.000,801.000,140.307,-23.951,0.137,3176.000,143.460,-16.670,7.050,-24.790,6.120,166.620,0.190,219.090,781.000,698.000,2.470,16.140,6.400,-2.950,-5.960,1.420,-1.600,-74.240,0.430,-1.540,76.720,0.120,12.640,331.310,2.540
131.000,-13.880,18.000,801.000,125.454,-23.530,0.239,3101.000,130.050,-10.510,7.690,0.680,6.850,-168.920,0.200,197.580,781.000,698.000,1.480,1.480,7.690,0.090,-6.720,-1.320,-1.560,-51.850,0.970,-1.230,103.400,0.160,24.970,595.630,2.390
132.000,-13.880,18.000,801.000,126.513,-23.509,0.233,3106.000,131.010,-10.810,7.660,0.680,6.810,-168.860,0.200,197.400,781.000,698.000,2.470,2.470,7.660,0.090,-6.680,-1.320,-1.570,-51.660,0.970,-1.230,106.400,0.160,24.610,499.380,2.520
133.000,-13.880,18.000,801.000,127.571,-23.484,0.228,3109.000,131.580,-10.990,7.640,0.680,6.790,-168.820,0.200,197.290,781.000,698.000,3.060,3.060,7.640,0.090,-6.660,-1.320,-1.570,-51.550,0.980,-1.230,111.490,0.160,38.590,473.960,2.590
134.000,-13.880,18.000,801.000,128.629,-23.456,0.222,3111.000,131.970,-11.090,7.630,3.410,6.770,-166.070,0.200,194.500,781.000,698.000,3.460,3.460,7.610,0.450,-6.580,-1.630,-1.570,-48.760,1.040,-1.180,111.490,0.160,38.590,473.960,2.590
135.000,-13.880,18.000,801.000,129.687,-23.426,0.217,3117.000,133.140,-11.390,7.580,3.430,6.730,-165.970,0.200,194.270,781.000,698.000,4.640,4.640,7.570,0.450,-6.530,-1.630,-1.580,-48.560,1.040,-1.180,110.880,0.160,32.940,424.550,2.590
136.000,-13.880,18.000,801.000,130.744,-23.392,0.212,3121.000,133.920,-11.580,7.560,3.440,6.690,-165.900,0.200,194.110,781.000,698.000,5.430,5.430,7.540,0.450,-6.490,-1.630,-1.580,-48.440,1.050,-1.180,108.620,0.160,29.510,395.800,2.560
137.000,-13.880,18.000,801.000,131.801,-23.355,0.206,3131.000,135.860,-12.190,7.480,-2.530,6.610,-171.720,0.200,199.680,781.000,698.000,7.420,7.420,7.470,-0.330,-6.540,-0.950,-1.580,-54.100,0.930,-1.280,98.270,0.160,32.720,328.260,2.270
