lon,lat,age,plate_id,recon_lon,recon_lat,distance_deg,sub_idx,trench_lon,trench_lat,conv_rate_cm_yr,conv_angle_deg,trench_abs_rate_cm_yr,trench_abs_angle_deg,arc_len_deg,trench_norm_deg,subducting_pid,trench_pid,dist_nearest_edge_deg,dist_from_start_deg,conv_ortho_cm_yr,conv_paral_cm_yr,trench_abs_ortho_cm_yr,trench_abs_paral_cm_yr,subducting_abs_rate_cm_yr,subducting_abs_angle_deg,subducting_abs_ortho_cm_yr,subducting_abs_paral_cm_yr,seafloor_age_ma,subduction_volume_km3_yr,carbonate_sediment_thickness_m,total_sediment_thick_m,ocean_crust_carb_percent
169.720,-25.456,29.000,844.000,167.585,-36.425,0.012,1634.000,166.870,-36.790,0.000,0.000,-5.810,-69.860,0.190,63.680,801.000,842.000,2.370,9.750,0.000,0.000,2.000,-5.450,-5.810,-69.860,2.000,-5.450,0.620,0.000,3.680,65.990,0.810
124.965,3.783,29.000,645.000,123.284,-2.929,0.069,1610.000,124.120,-6.810,12.630,26.180,4.230,-171.680,0.200,347.990,781.000,669.000,2.040,2.040,11.340,5.570,-4.180,-0.610,-8.710,34.660,7.160,4.950,82.670,0.220,36.540,345.670,2.370
167.975,-15.514,30.000,827.000,169.605,-21.363,0.017,1514.000,170.600,-21.080,9.040,-25.170,8.130,126.000,0.180,256.930,901.000,847.000,5.950,24.920,8.190,-3.850,-4.780,6.570,-4.380,38.310,3.440,2.720,86.430,0.150,27.210,194.610,2.240
163.283,-14.637,30.000,861.000,157.496,-27.664,0.019,2700.000,158.410,-28.430,0.560,-3.930,6.390,-128.640,0.200,123.660,861.000,834.000,1.620,1.620,0.560,-0.040,-3.990,-4.990,6.090,-124.230,-3.420,-5.030,25.750,0.010,41.020,151.130,1.980
169.680,-28.430,31.000,834.000,168.878,-40.299,0.003,1631.000,169.040,-40.160,0.000,0.000,-4.710,-88.920,0.160,64.780,801.000,842.000,5.140,6.970,0.000,0.000,0.090,-4.710,-4.710,-88.920,0.090,-4.710,1.760,0.000,1.620,76.440,1.110
167.750,-38.297,31.000,868.000,170.879,-50.197,0.062,1671.000,171.750,-46.690,0.000,0.000,4.860,-97.100,0.040,63.080,801.000,842.000,0.020,0.020,0.000,0.000,-0.600,-4.820,4.860,-97.100,-0.600,-4.820,29.330,0.000,64.610,655.820,1.980
137.409,-7.729,32.000,615.000,128.381,-25.755,0.070,2969.000,128.990,-21.760,0.000,0.000,-7.120,3.580,0.200,8.760,801.000,698.000,0.780,13.110,0.000,0.000,7.110,0.440,-7.120,3.580,7.110,0.440,16.020,0.000,57.960,100.360,1.890
121.798,-4.768,32.000,566.000,115.777,-15.956,0.142,2433.000,114.250,-7.960,6.160,-12.620,-1.820,35.700,0.190,19.200,801.000,736.000,0.090,0.090,6.010,-1.350,1.470,1.060,-7.490,-1.440,7.490,-0.190,49.310,0.090,15.230,260.820,2.290
145.328,-6.804,33.000,615.000,136.810,-24.698,0.213,2111.000,137.190,-12.480,-7.070,-113.780,-12.460,54.800,0.180,345.350,781.000,688.000,0.090,23.530,-2.850,-6.470,7.190,10.180,-5.700,39.950,4.370,3.660,72.280,0.000,23.330,281.620,2.470
154.664,-2.019,33.000,901.000,172.455,-7.134,0.190,1450.000,164.960,-15.180,10.440,3.280,7.950,169.790,0.180,232.240,901.000,847.000,14.760,17.130,10.420,0.600,-7.820,1.410,-3.300,37.630,2.620,2.020,95.970,0.200,34.370,190.020,2.540
162.383,-17.057,34.000,861.000,157.041,-31.984,0.012,2638.000,157.740,-31.670,1.920,58.080,-3.370,-82.040,0.180,99.750,861.000,834.000,0.090,0.090,1.020,1.630,0.470,-3.340,-2.310,-47.310,1.570,-1.700,21.130,0.010,41.970,171.790,1.930
152.743,-11.784,34.000,836.000,145.597,-28.996,0.129,2816.000,138.090,-25.830,1.800,-40.880,-3.100,-11.730,0.140,48.510,801.000,698.000,0.070,0.070,1.360,-1.180,3.040,-0.630,-4.760,-22.420,4.400,-1.810,14.010,0.010,50.100,93.460,1.850
148.091,-5.459,35.000,830.000,149.605,-9.105,0.019,1409.000,149.950,-8.100,12.440,33.560,8.960,-154.840,0.190,203.010,901.000,847.000,2.910,2.910,10.360,6.880,-8.110,-3.810,-3.810,53.850,2.250,3.080,118.080,0.210,6.280,180.760,2.750
128.537,0.930,35.000,680.000,136.165,-9.637,0.056,2133.000,134.400,-12.360,11.980,49.160,9.400,-105.680,0.190,34.710,781.000,678.000,1.750,1.750,7.840,9.070,-2.540,-9.050,-5.310,-1.060,5.310,-0.100,71.010,0.140,24.680,257.290,2.450
137.236,-22.672,36.000,801.000,128.990,-42.607,0.308,2615.000,137.950,-26.480,1.800,-25.200,-3.090,3.890,0.070,32.230,801.000,698.000,0.040,0.040,1.630,-0.770,3.080,0.210,-4.740,-6.800,4.710,-0.560,11.040,0.000,53.430,225.020,1.790
135.584,-6.703,36.000,801.000,125.443,-26.822,0.070,2674.000,126.540,-22.920,1.810,0.120,-3.680,25.950,0.200,11.720,801.000,698.000,0.100,11.270,1.810,0.000,3.310,1.610,-5.360,17.460,5.110,1.610,27.800,0.020,29.900,198.710,1.950
149.341,-10.704,37.000,878.000,141.100,-29.590,0.070,2530.000,137.880,-26.770,1.800,-25.200,-3.080,3.980,0.100,31.950,801.000,698.000,0.050,0.050,1.630,-0.770,3.080,0.210,-4.740,-6.760,4.700,-0.560,7.460,0.010,41.970,81.970,1.630
145.348,-10.930,37.000,888.000,136.665,-30.419,0.066,2530.000,137.880,-26.770,1.800,-25.200,-3.080,3.980,0.100,31.950,801.000,698.000,0.050,0.050,1.630,-0.770,3.080,0.210,-4.740,-6.760,4.700,-0.560,7.460,0.010,41.970,81.970,1.630
165.508,-22.958,38.000,869.000,162.607,-38.239,0.105,2334.000,157.590,-33.790,-1.890,104.240,-1.600,-51.220,0.120,67.910,861.000,834.000,0.060,0.060,-0.460,1.830,1.000,-1.240,-0.840,47.100,0.570,0.610,23.760,0.000,40.850,147.240,1.920
148.459,-3.743,38.000,830.000,149.183,-9.626,0.009,1197.000,148.990,-10.080,10.370,35.860,6.900,-152.590,0.170,204.830,901.000,847.000,4.820,4.820,8.410,6.080,-6.130,-3.180,-3.690,51.980,2.270,2.910,111.610,0.160,6.680,229.650,2.740
149.249,-14.544,39.000,801.000,141.530,-33.953,0.131,2478.000,137.830,-27.170,1.800,-25.210,-0.890,41.000,0.160,31.430,801.000,698.000,0.080,0.080,1.630,-0.770,0.680,0.590,-2.310,-4.550,2.300,-0.180,41.240,0.020,30.510,196.280,2.240
130.680,-2.826,39.000,681.000,119.843,-23.383,0.084,2544.000,125.110,-23.360,1.800,-1.100,-1.220,46.040,0.150,12.780,801.000,698.000,0.080,12.490,1.800,-0.030,0.850,0.880,-2.780,17.610,2.650,0.840,108.110,0.030,24.410,1239.570,2.720
145.934,-13.181,40.000,888.000,137.363,-33.343,0.099,2582.000,138.940,-27.830,1.800,-25.280,-1.800,38.980,0.190,30.710,801.000,698.000,0.990,0.990,1.620,-0.770,1.400,1.130,-3.040,6.790,3.020,0.360,99.170,0.030,31.210,368.380,2.610
136.827,-8.453,40.000,801.000,126.253,-29.763,0.105,2642.000,127.380,-23.830,1.810,3.110,-2.160,56.430,0.200,7.460,801.000,698.000,2.550,12.430,1.810,0.100,1.200,1.800,-3.550,32.270,3.000,1.900,3.670,0.010,25.540,85.350,1.430
160.144,-31.595,41.000,869.000,160.094,-48.297,0.169,1193.000,174.110,-46.240,2.310,11.600,0.910,104.220,0.180,257.410,901.000,823.000,0.820,6.180,2.260,0.460,-0.220,0.890,-2.450,33.320,2.050,1.350,75.950,0.040,87.290,1503.460,2.200
120.428,-2.873,41.000,566.000,111.886,-17.868,0.193,873.000,111.670,-6.820,6.300,19.900,2.150,-171.410,0.200,19.430,801.000,67351.000,0.100,0.100,5.930,2.150,-2.120,-0.320,-4.220,25.450,3.810,1.810,24.800,0.070,36.830,139.030,1.910
124.361,-0.829,42.000,667.000,120.438,-19.377,0.088,2493.000,123.730,-23.410,1.800,-1.100,-2.250,49.520,0.190,12.680,801.000,698.000,0.090,15.630,1.800,-0.030,1.460,1.710,-3.670,27.180,3.260,1.680,108.530,0.040,31.890,1242.000,2.730
162.717,-31.799,42.000,833.000,163.270,-47.883,0.131,1192.000,174.110,-46.320,2.300,12.370,0.910,103.900,0.180,257.040,901.000,823.000,0.820,6.200,2.240,0.490,-0.220,0.890,-2.450,34.030,2.030,1.370,74.030,0.040,73.180,1429.730,2.210
146.047,-4.185,43.000,830.000,144.277,-10.439,0.008,2008.000,144.680,-10.690,-5.990,-97.910,-5.430,30.730,0.190,306.910,901.000,688.000,0.290,14.050,-0.820,-5.940,4.670,2.780,-4.990,-40.500,3.800,-3.240,99.530,0.000,17.280,283.980,2.660
133.304,-23.144,43.000,801.000,123.012,-45.446,,,,,,,,,,,,,,,,,,,,,,,,,,,
