lon,lat,age,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent
107.122,-1.247,112.000,64701.000,118.621,12.055,0.047,1217.000,121.360,12.550,6.120,62.190,-6.340,-19.950,0.190,262.360,926.000,614.000,1.680,1.680,2.860,5.410,5.960,-2.160,-9.360,19.940,8.800,3.190,102.140,0.060,9.400,160.160,2.750
112.877,-6.707,37.000,736.000,115.436,-7.402,0.042,2148.000,113.900,-9.240,6.540,-15.500,1.110,93.820,0.180,39.390,801.000,736.000,2.780,2.780,6.300,-1.750,-0.070,1.110,-6.260,-5.060,6.230,-0.550,35.090,0.080,7.400,148.950,2.040
122.442,-41.487,184.000,801.000,45.276,-59.389,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.323,-2.851,82.000,68601.000,102.840,-3.850,0.010,1278.000,102.460,-4.310,12.240,-81.420,-10.150,27.150,0.190,40.550,501.000,67350.000,0.860,3.340,1.820,-12.100,9.030,4.630,-13.150,-35.250,10.740,-7.590,63.370,0.030,9.170,131.860,2.540
174.330,-19.851,5.000,824.000,177.984,-21.337,0.031,1246.000,176.070,-21.620,18.040,49.960,15.960,-114.530,0.180,11.520,801.000,827.000,0.090,0.090,11.600,13.810,-6.630,-14.520,-5.100,-10.360,5.020,-0.920,30.600,0.140,36.950,123.840,1.750
151.769,-37.094,61.000,801.000,157.239,-63.387,0.288,2207.000,179.890,-51.850,1.760,-3.600,4.640,148.490,0.150,221.790,901.000,943.000,2.800,4.960,1.760,-0.110,-3.960,2.420,3.190,133.490,-2.200,2.320,32.030,0.020,30.430,124.140,2.290
139.854,-24.923,108.000,801.000,122.784,-53.503,0.270,2419.000,146.530,-48.790,9.250,66.110,4.450,-178.390,0.150,241.140,983.000,833.000,5.580,5.580,3.740,8.450,-4.440,-0.130,8.310,94.850,-0.700,8.280,26.320,0.030,8.580,84.530,2.230
152.984,-19.571,12.000,801.000,152.082,-26.735,0.155,823.000,153.940,-18.030,0.000,0.000,5.640,174.160,0.170,196.660,849.000,829.000,0.080,11.780,0.000,0.000,-5.610,0.570,5.640,174.160,-5.610,0.570,24.600,0.000,19.890,120.670,1.850
125.385,3.466,136.000,669.000,125.385,3.466,0.024,349.000,124.320,2.630,11.710,-18.510,1.580,138.970,0.190,50.620,780.000,301.000,1.990,19.430,11.100,-3.720,-1.190,1.040,-10.260,-15.310,9.900,-2.710,90.010,0.220,8.310,166.330,2.920
134.476,-13.102,125.000,801.000,109.085,-42.160,,,,,,,,,,,,,,,,,,,,,,,,,,,
