lon,lat,age,plate_id,recon_lon,recon_lat,distance,sub_idx,trench_lon,trench_lat,conv_rate,conv_angle,trench_abs_rate,trench_abs_angle,arc_len,trench_norm,subducting_pid,trench_pid,dist_nearest_edge,dist_from_start,conv_ortho,conv_paral,trench_abs_ortho,trench_abs_paral,subducting_abs_rate,subducting_abs_angle,subducting_abs_ortho,subducting_abs_paral,seafloor_age,subduction_volume_km3y,carbonate_sediment_thickness,total_sediment_thick,ocean_crust_carb_percent,label
144.563,-7.234,208.0,615.0,115.334,-38.693,0.163,1296.0,126.21,-35.29,-5.16,99.06,-4.82,-45.14,0.2,246.44,919.0,801.0,12.07,22.38,-0.81,5.1,3.4,-3.42,-3.11,32.87,2.61,1.69,39.82,0.0,4.83,305.66,2.48,0
144.752,-6.233,175.0,615.0,112.525,-47.764,0.151,851.0,124.86,-45.74,5.14,16.69,1.32,161.96,0.2,251.75,919.0,801.0,0.49,0.49,4.93,1.48,-1.25,0.41,-4.13,27.14,3.67,1.88,79.27,0.1,25.77,309.37,2.8,0
140.525,-7.762,76.0,615.0,131.217,-36.382,0.181,1704.0,141.14,-30.12,4.49,17.54,4.04,-118.61,0.18,42.22,780.0,678.0,0.28,0.28,4.28,1.35,-1.93,-3.55,-3.2,-42.71,2.35,-2.17,70.68,0.08,76.84,346.13,2.55,0
144.797,-6.634,171.0,615.0,113.039,-47.991,0.154,848.0,125.59,-45.82,5.16,16.43,1.33,162.15,0.2,250.88,919.0,801.0,0.88,0.88,4.95,1.46,-1.26,0.41,-4.13,26.84,3.68,1.86,81.54,0.1,25.83,226.47,2.81,0
141.35,-7.34,48.0,615.0,134.099,-33.173,0.248,1971.0,141.24,-20.43,9.38,-82.95,-7.56,75.98,0.18,19.88,801.0,678.0,0.65,0.65,1.15,-9.31,1.83,7.33,-3.59,-32.67,3.02,-1.94,70.74,0.02,80.75,296.57,2.36,0
143.453,-7.853,39.0,615.0,137.471,-31.46,0.124,1914.0,138.47,-24.42,4.4,19.08,1.35,-168.44,0.19,6.2,801.0,698.0,7.53,13.8,4.16,1.44,-1.32,-0.27,-3.07,21.94,2.85,1.15,28.18,0.05,45.95,319.84,1.93,0
140.11,-8.021,59.0,615.0,131.558,-36.591,0.159,2633.0,142.42,-34.32,0.0,0.0,-4.6,-43.13,0.17,66.8,836.0,836.0,0.09,13.0,0.0,0.0,3.36,-3.14,-4.6,-43.13,3.36,-3.14,8.34,0.0,46.0,198.72,1.64,0
136.318,-4.025,60.0,615.0,126.47,-32.918,0.226,1701.0,138.99,-25.85,-3.18,121.74,-5.48,-44.38,0.2,53.63,780.0,678.0,2.23,2.23,-1.67,2.71,3.91,-3.83,-2.51,-25.89,2.25,-1.09,80.28,0.0,9.09,359.95,2.57,0
142.709,-8.302,103.0,615.0,129.084,-36.93,0.253,1865.0,144.34,-29.91,10.77,40.71,6.76,-141.2,0.04,237.49,901.0,869.0,0.02,0.02,8.17,7.03,-5.27,-4.24,-4.02,44.07,2.89,2.8,18.06,0.02,1.12,122.24,2.02,0
145.052,-5.436,61.0,698.0,139.437,-29.951,0.037,1695.0,140.36,-28.0,-5.41,-172.28,-7.91,3.71,0.18,29.87,780.0,678.0,0.09,0.09,-5.37,-0.73,7.9,0.51,-2.54,-4.23,2.53,-0.19,83.35,0.0,30.89,731.44,2.51,0
141.934,-9.043,84.0,615.0,133.87,-38.06,0.154,311.0,143.15,-33.43,5.98,47.11,5.22,-171.26,0.19,227.57,901.0,847.0,0.09,0.09,4.07,4.38,-5.16,-0.79,3.78,106.96,-1.1,3.61,35.66,0.05,33.94,317.23,2.25,0
137.127,-4.57,220.0,615.0,109.855,-31.654,0.267,1381.0,127.61,-29.95,3.58,33.58,2.01,-104.09,0.13,276.85,919.0,801.0,13.21,16.89,2.98,1.98,-0.49,-1.95,-2.5,0.69,2.5,0.03,27.13,0.02,3.26,159.26,2.37,0
145.157,-7.356,75.0,615.0,136.803,-35.374,0.109,1570.0,141.03,-30.23,4.52,17.23,2.5,-127.82,0.18,41.71,780.0,678.0,0.09,0.09,4.32,1.34,-1.53,-1.98,-2.85,-12.58,2.78,-0.62,70.48,0.08,73.76,380.06,2.55,0
141.85,-3.85,0.0,698.0,141.85,-3.85,0.019,2663.0,142.2,-2.83,6.12,33.92,6.86,132.87,0.18,200.73,847.0,829.0,5.65,5.65,5.08,3.41,-4.66,5.03,-8.46,88.58,0.21,8.45,20.27,0.05,30.98,87.32,1.78,0
147.745,-8.59,73.0,698.0,141.329,-34.651,0.078,1576.0,140.52,-30.22,5.06,22.06,2.48,-131.63,0.18,40.83,780.0,678.0,0.09,0.09,4.69,1.9,-1.65,-1.85,-3.04,1.27,3.04,0.07,69.32,0.08,68.67,331.96,2.52,0
147.993,-8.109,52.0,698.0,145.588,-27.994,0.066,2788.0,144.06,-31.56,0.0,0.0,-5.44,-61.69,0.17,48.21,836.0,836.0,0.09,14.03,0.0,0.0,2.58,-4.79,-5.44,-61.69,2.58,-4.79,15.44,0.0,31.57,212.41,1.77,0
141.427,-5.326,168.0,615.0,109.777,-44.53,0.198,638.0,125.58,-43.75,8.04,-33.77,7.07,116.68,0.2,250.27,919.0,801.0,0.1,0.1,6.69,-4.47,-3.17,6.32,-3.94,27.84,3.48,1.84,81.52,0.13,30.62,311.25,2.77,0
139.14,-7.471,91.0,615.0,128.757,-36.718,0.307,1920.0,148.23,-29.79,4.54,76.32,1.93,-155.14,0.04,235.57,901.0,869.0,0.02,0.02,1.07,4.41,-1.75,-0.81,3.67,100.64,-0.68,3.6,35.31,0.0,5.49,153.7,2.23,0
146.768,-8.038,10.0,698.0,145.093,-14.462,0.051,838.0,146.52,-11.91,0.0,0.0,6.87,164.8,0.18,209.18,849.0,829.0,2.71,2.71,0.0,0.0,-6.63,1.8,6.87,164.8,-6.63,1.8,21.0,0.0,13.19,124.54,1.69,0
132.677,-2.902,82.0,61501.0,122.92,-32.051,0.303,272.0,143.56,-32.67,1.7,7.92,4.08,146.04,0.19,226.54,901.0,847.0,0.09,0.09,1.68,0.23,-3.38,2.28,3.05,123.9,-1.7,2.53,25.13,0.02,24.92,275.95,2.01,0
